Lines;start_station;destination;;;;;;;
14;Lexiu Road;Lintao Road;;;;;;;
14;Lintao Road;Jiayi Road;;;;;;;
14;Jiayi Road;Dingbian Road;;;;;;;
14;Dingbian Road;Zhenxin Xincun;;;;;;;
14;Zhenxin Xincun;Zhenguang Road;;;;;;;
14;Zhenguang Road;Tongchuan Road;;;;;;;
14;Tongchuan Road;Zhenru;;;;;;;
14;Zhenru;Zhongning Road;;;;;;;
14;Zhongning Road;Caoyang Road;;;;;;;
14;Caoyang Road;Wuning Road;;;;;;;
14;Wuning Road;Wuding Road;;;;;;;
14;Wuding Road;Jing'an Temple;;;;;;;
14;Jing'an Temple;Site of the First CPC National Congress á South Huangpi Road;;;;;;;
14;Site of the First CPC National Congress á South Huangpi Road;Dashijie;;;;;;;
14;Dashijie;Yuyuan Garden;;;;;;;
14;Yuyuan Garden;Lujiazui;;;;;;;
14;Lujiazui;South Pudong Road;;;;;;;
14;South Pudong Road;Pudong Avenue;;;;;;;
14;Pudong Avenue;Yuanshen Road;;;;;;;
14;Yuanshen Road;Changyi Road;;;;;;;
14;Changyi Road;Xiepu Road;;;;;;;
14;Xiepu Road;Yunshan Road;;;;;;;
14;Yunshan Road;Lantian Road;;;;;;;
14;Lantian Road;Huangyang Road;;;;;;;
14;Huangyang Road;Yunshun Road;;;;;;;
14;Yunshun Road;Pudong Football Stadium;;;;;;;
14;Pudong Football Stadium;Jinyue Road;;;;;;;
14;Jinyue Road;Guiqiao Road;;;;;;;
15;Gucun Park;Jinqiu Road;;;;;;;
15;Jinqiu Road;Fengxiang Road;;;;;;;
15;Fengxiang Road;Nanda Road;;;;;;;
15;Nanda Road;Qi'an Road;;;;;;;
15;Qi'an Road;Gulang Road;;;;;;;
15;Gulang Road;East Wuwei Road;;;;;;;
15;East Wuwei Road;Shanghai West Railway Station;;;;;;;
15;Shanghai West Railway Station;Tongchuan Road;;;;;;;
15;Tongchuan Road;North Meiling Road;;;;;;;
15;North Meiling Road;Daduhe Road;;;;;;;
15;Daduhe Road;Changfeng Park;;;;;;;
15;Changfeng Park;Loushanguan Road;;;;;;;
15;Loushanguan Road;Hongbaoshi Road;;;;;;;
15;Hongbaoshi Road;Yaohong Road;;;;;;;
15;Yaohong Road;Wuzhong Road;;;;;;;
15;Wuzhong Road;Guilin Road;;;;;;;
15;Guilin Road;Guilin Park;;;;;;;
15;Guilin Park;Shanghai South Railway Station;;;;;;;
15;Shanghai South Railway Station;East China University of Science and Technology;;;;;;;
15;East China University of Science and Technology;Luoxiu Road;;;;;;;
15;Luoxiu Road;Zhumei Road;;;;;;;
15;Zhumei Road;West Huajing;;;;;;;
15;West Huajing;South Hongmei Road;;;;;;;
15;South Hongmei Road;Jingxi Road;;;;;;;
15;Jingxi Road;Shujian Road;;;;;;;
15;Shujian Road;Shuangbai Road;;;;;;;
15;Shuangbai Road;Yuanjiang Road;;;;;;;
15;Yuanjiang Road;Yongde Road;;;;;;;
15;Yongde Road;Zizhu Hi-tech Park;;;;;;;
16;Longyang Road;Middle Huaxia Road;;;;;;;
16;Middle Huaxia Road;Luoshan Road;;;;;;;
16;Luoshan Road;East Zhoupu;;;;;;;
16;East Zhoupu;Heshahangcheng;;;;;;;
16;Heshahangcheng;East Hangtou;;;;;;;
16;East Hangtou;Xinchang;;;;;;;
16;Xinchang;Wild Animal Park;;;;;;;
16;Wild Animal Park;Huinan;;;;;;;
16;Huinan;East Huinan;;;;;;;
